record_id,title,process_category,record_type,date,owner,experiment_notes,failure_mode,parameters,validation_outcome,severity,tags,source_file
PKAI-0065,Failure Analysis validation summary 65,Failure Analysis,validation_summary,2024-03-12,N. Brooks,Observed coating uniformity drift during run review. Equipment EQ-011 and material batch MB-2024-1064 were checked against the current validation threshold.,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,low,"[""coating-uniformity-drift"", ""failure-analysis"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0065.md
PKAI-0066,Validation Testing parameter change 66,Validation Testing,parameter_change,2024-03-13,J. Rivera,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1065.,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,medium,"[""parameter_change"", ""thermal-cycling-impedance-drift"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0066.md
PKAI-0067,Battery Process Optimization experiment note 67,Battery Process Optimization,experiment_note,2024-03-14,R. Singh,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-013.",increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,medium,"[""battery-process-optimization"", ""experiment_note"", ""increased-defect-rate""]",process_notes/battery_process_optimization/experiment_note_0067.md
PKAI-0068,Materials Characterization qa record 68,Materials Characterization,qa_record,2024-03-15,A. Patel,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,low,"[""calibration-offset"", ""materials-characterization"", ""qa_record""]",process_notes/materials_characterization/qa_record_0068.md
PKAI-0069,Manufacturing QA maintenance log 69,Manufacturing QA,maintenance_log,2024-03-16,R. Singh,Observed material batch inconsistency during run review. Equipment EQ-015 and material batch MB-2024-1068 were checked against the current validation threshold.,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,medium,"[""maintenance_log"", ""manufacturing-qa"", ""material-batch-inconsistency""]",process_notes/manufacturing_qa/maintenance_log_0069.md
PKAI-0070,Equipment Maintenance failure report 70,Equipment Maintenance,failure_report,2024-03-17,N. Brooks,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1069.,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,low,"[""equipment-maintenance"", ""failure_report"", ""sensor-anomaly""]",process_notes/equipment_maintenance/failure_report_0070.md
PKAI-0071,Failure Analysis validation summary 71,Failure Analysis,validation_summary,2024-03-18,R. Singh,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-017.",yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",failed,high,"[""failure-analysis"", ""validation_summary"", ""yield-loss""]",process_notes/failure_analysis/validation_summary_0071.md
PKAI-0072,Validation Testing parameter change 72,Validation Testing,parameter_change,2024-03-19,A. Patel,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,medium,"[""parameter_change"", ""validation-testing"", ""validation-threshold-miss""]",process_notes/validation_testing/parameter_change_0072.md
PKAI-0073,Battery Process Optimization experiment note 73,Battery Process Optimization,experiment_note,2024-03-20,M. Chen,Observed coating uniformity drift during run review. Equipment EQ-001 and material batch MB-2024-1072 were checked against the current validation threshold.,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,medium,"[""battery-process-optimization"", ""coating-uniformity-drift"", ""experiment_note""]",process_notes/battery_process_optimization/experiment_note_0073.md
PKAI-0074,Materials Characterization qa record 74,Materials Characterization,qa_record,2024-03-21,N. Brooks,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1073.,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,medium,"[""materials-characterization"", ""qa_record"", ""thermal-cycling-impedance-drift""]",process_notes/materials_characterization/qa_record_0074.md
PKAI-0075,Manufacturing QA maintenance log 75,Manufacturing QA,maintenance_log,2024-03-22,M. Chen,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-003.",increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,high,"[""increased-defect-rate"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0075.md
PKAI-0076,Equipment Maintenance failure report 76,Equipment Maintenance,failure_report,2024-03-23,J. Rivera,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,medium,"[""calibration-offset"", ""equipment-maintenance"", ""failure_report""]",process_notes/equipment_maintenance/failure_report_0076.md
PKAI-0077,Failure Analysis validation summary 77,Failure Analysis,validation_summary,2024-03-24,N. Brooks,Observed material batch inconsistency during run review. Equipment EQ-005 and material batch MB-2024-1001 were checked against the current validation threshold.,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,medium,"[""failure-analysis"", ""material-batch-inconsistency"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0077.md
PKAI-0078,Validation Testing parameter change 78,Validation Testing,parameter_change,2024-03-25,N. Brooks,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1002.,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,medium,"[""parameter_change"", ""sensor-anomaly"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0078.md
PKAI-0079,Battery Process Optimization experiment note 79,Battery Process Optimization,experiment_note,2024-03-26,R. Singh,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-007.",yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",warning,low,"[""battery-process-optimization"", ""experiment_note"", ""yield-loss""]",process_notes/battery_process_optimization/experiment_note_0079.md
PKAI-0080,Materials Characterization qa record 80,Materials Characterization,qa_record,2024-03-27,R. Singh,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,medium,"[""materials-characterization"", ""qa_record"", ""validation-threshold-miss""]",process_notes/materials_characterization/qa_record_0080.md
PKAI-0081,Manufacturing QA maintenance log 81,Manufacturing QA,maintenance_log,2024-03-28,N. Brooks,Observed coating uniformity drift during run review. Equipment EQ-009 and material batch MB-2024-1005 were checked against the current validation threshold.,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,high,"[""coating-uniformity-drift"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0081.md
PKAI-0082,Equipment Maintenance failure report 82,Equipment Maintenance,failure_report,2024-03-29,M. Chen,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1006.,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,low,"[""equipment-maintenance"", ""failure_report"", ""thermal-cycling-impedance-drift""]",process_notes/equipment_maintenance/failure_report_0082.md
PKAI-0083,Failure Analysis validation summary 83,Failure Analysis,validation_summary,2024-03-30,R. Singh,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-011.",increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,medium,"[""failure-analysis"", ""increased-defect-rate"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0083.md
PKAI-0084,Validation Testing parameter change 84,Validation Testing,parameter_change,2024-03-31,N. Brooks,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,medium,"[""calibration-offset"", ""parameter_change"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0084.md
PKAI-0085,Battery Process Optimization experiment note 85,Battery Process Optimization,experiment_note,2024-04-01,M. Chen,Observed material batch inconsistency during run review. Equipment EQ-013 and material batch MB-2024-1009 were checked against the current validation threshold.,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,medium,"[""battery-process-optimization"", ""experiment_note"", ""material-batch-inconsistency""]",process_notes/battery_process_optimization/experiment_note_0085.md
PKAI-0086,Materials Characterization qa record 86,Materials Characterization,qa_record,2024-04-02,R. Singh,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1010.,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,medium,"[""materials-characterization"", ""qa_record"", ""sensor-anomaly""]",process_notes/materials_characterization/qa_record_0086.md
PKAI-0087,Manufacturing QA maintenance log 87,Manufacturing QA,maintenance_log,2024-04-03,J. Rivera,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-015.",yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,low,"[""maintenance_log"", ""manufacturing-qa"", ""yield-loss""]",process_notes/manufacturing_qa/maintenance_log_0087.md
PKAI-0088,Equipment Maintenance failure report 88,Equipment Maintenance,failure_report,2024-04-04,N. Brooks,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,low,"[""equipment-maintenance"", ""failure_report"", ""validation-threshold-miss""]",process_notes/equipment_maintenance/failure_report_0088.md
PKAI-0089,Failure Analysis validation summary 89,Failure Analysis,validation_summary,2024-04-05,R. Singh,Observed coating uniformity drift during run review. Equipment EQ-017 and material batch MB-2024-1013 were checked against the current validation threshold.,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,medium,"[""coating-uniformity-drift"", ""failure-analysis"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0089.md
PKAI-0090,Validation Testing parameter change 90,Validation Testing,parameter_change,2024-04-06,J. Rivera,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1014.,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,low,"[""parameter_change"", ""thermal-cycling-impedance-drift"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0090.md
PKAI-0091,Battery Process Optimization experiment note 91,Battery Process Optimization,experiment_note,2024-04-07,R. Singh,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-001.",increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,low,"[""battery-process-optimization"", ""experiment_note"", ""increased-defect-rate""]",process_notes/battery_process_optimization/experiment_note_0091.md
PKAI-0092,Materials Characterization qa record 92,Materials Characterization,qa_record,2024-04-08,N. Brooks,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,low,"[""calibration-offset"", ""materials-characterization"", ""qa_record""]",process_notes/materials_characterization/qa_record_0092.md
PKAI-0093,Manufacturing QA maintenance log 93,Manufacturing QA,maintenance_log,2024-04-09,A. Patel,Observed material batch inconsistency during run review. Equipment EQ-003 and material batch MB-2024-1017 were checked against the current validation threshold.,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,medium,"[""maintenance_log"", ""manufacturing-qa"", ""material-batch-inconsistency""]",process_notes/manufacturing_qa/maintenance_log_0093.md
PKAI-0094,Equipment Maintenance failure report 94,Equipment Maintenance,failure_report,2024-04-10,R. Singh,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1018.,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,high,"[""equipment-maintenance"", ""failure_report"", ""sensor-anomaly""]",process_notes/equipment_maintenance/failure_report_0094.md
PKAI-0095,Failure Analysis validation summary 95,Failure Analysis,validation_summary,2024-04-11,R. Singh,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-005.",yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,low,"[""failure-analysis"", ""validation_summary"", ""yield-loss""]",process_notes/failure_analysis/validation_summary_0095.md
PKAI-0096,Validation Testing parameter change 96,Validation Testing,parameter_change,2024-04-12,R. Singh,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,high,"[""parameter_change"", ""validation-testing"", ""validation-threshold-miss""]",process_notes/validation_testing/parameter_change_0096.md
PKAI-0097,Battery Process Optimization experiment note 97,Battery Process Optimization,experiment_note,2024-04-13,M. Chen,Observed coating uniformity drift during run review. Equipment EQ-007 and material batch MB-2024-1021 were checked against the current validation threshold.,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,high,"[""battery-process-optimization"", ""coating-uniformity-drift"", ""experiment_note""]",process_notes/battery_process_optimization/experiment_note_0097.md
PKAI-0098,Materials Characterization qa record 98,Materials Characterization,qa_record,2024-04-14,N. Brooks,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1022.,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,high,"[""materials-characterization"", ""qa_record"", ""thermal-cycling-impedance-drift""]",process_notes/materials_characterization/qa_record_0098.md
PKAI-0099,Manufacturing QA maintenance log 99,Manufacturing QA,maintenance_log,2024-04-15,J. Rivera,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-009.",increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,medium,"[""increased-defect-rate"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0099.md
PKAI-0100,Equipment Maintenance failure report 100,Equipment Maintenance,failure_report,2024-04-16,R. Singh,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",warning,medium,"[""calibration-offset"", ""equipment-maintenance"", ""failure_report""]",process_notes/equipment_maintenance/failure_report_0100.md
PKAI-0101,Failure Analysis validation summary 101,Failure Analysis,validation_summary,2024-04-17,M. Chen,Observed material batch inconsistency during run review. Equipment EQ-011 and material batch MB-2024-1025 were checked against the current validation threshold.,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,medium,"[""failure-analysis"", ""material-batch-inconsistency"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0101.md
PKAI-0102,Validation Testing parameter change 102,Validation Testing,parameter_change,2024-04-18,M. Chen,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1026.,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,medium,"[""parameter_change"", ""sensor-anomaly"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0102.md
PKAI-0103,Battery Process Optimization experiment note 103,Battery Process Optimization,experiment_note,2024-04-19,M. Chen,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-013.",yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,high,"[""battery-process-optimization"", ""experiment_note"", ""yield-loss""]",process_notes/battery_process_optimization/experiment_note_0103.md
PKAI-0104,Materials Characterization qa record 104,Materials Characterization,qa_record,2024-04-20,J. Rivera,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,low,"[""materials-characterization"", ""qa_record"", ""validation-threshold-miss""]",process_notes/materials_characterization/qa_record_0104.md
PKAI-0105,Manufacturing QA maintenance log 105,Manufacturing QA,maintenance_log,2024-04-21,R. Singh,Observed coating uniformity drift during run review. Equipment EQ-015 and material batch MB-2024-1029 were checked against the current validation threshold.,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",warning,low,"[""coating-uniformity-drift"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0105.md
PKAI-0106,Equipment Maintenance failure report 106,Equipment Maintenance,failure_report,2024-04-22,N. Brooks,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1030.,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,medium,"[""equipment-maintenance"", ""failure_report"", ""thermal-cycling-impedance-drift""]",process_notes/equipment_maintenance/failure_report_0106.md
PKAI-0107,Failure Analysis validation summary 107,Failure Analysis,validation_summary,2024-04-23,A. Patel,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-017.",increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,medium,"[""failure-analysis"", ""increased-defect-rate"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0107.md
PKAI-0108,Validation Testing parameter change 108,Validation Testing,parameter_change,2024-04-24,J. Rivera,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,low,"[""calibration-offset"", ""parameter_change"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0108.md
PKAI-0109,Battery Process Optimization experiment note 109,Battery Process Optimization,experiment_note,2024-04-25,J. Rivera,Observed material batch inconsistency during run review. Equipment EQ-001 and material batch MB-2024-1033 were checked against the current validation threshold.,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,low,"[""battery-process-optimization"", ""experiment_note"", ""material-batch-inconsistency""]",process_notes/battery_process_optimization/experiment_note_0109.md
PKAI-0110,Materials Characterization qa record 110,Materials Characterization,qa_record,2024-04-26,M. Chen,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1034.,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,low,"[""materials-characterization"", ""qa_record"", ""sensor-anomaly""]",process_notes/materials_characterization/qa_record_0110.md
PKAI-0111,Manufacturing QA maintenance log 111,Manufacturing QA,maintenance_log,2024-04-27,M. Chen,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-003.",yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,low,"[""maintenance_log"", ""manufacturing-qa"", ""yield-loss""]",process_notes/manufacturing_qa/maintenance_log_0111.md
PKAI-0112,Equipment Maintenance failure report 112,Equipment Maintenance,failure_report,2024-04-28,J. Rivera,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,high,"[""equipment-maintenance"", ""failure_report"", ""validation-threshold-miss""]",process_notes/equipment_maintenance/failure_report_0112.md
PKAI-0113,Failure Analysis validation summary 113,Failure Analysis,validation_summary,2024-04-29,J. Rivera,Observed coating uniformity drift during run review. Equipment EQ-005 and material batch MB-2024-1037 were checked against the current validation threshold.,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",failed,low,"[""coating-uniformity-drift"", ""failure-analysis"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0113.md
PKAI-0114,Validation Testing parameter change 114,Validation Testing,parameter_change,2024-04-30,J. Rivera,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1038.,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,low,"[""parameter_change"", ""thermal-cycling-impedance-drift"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0114.md
PKAI-0115,Battery Process Optimization experiment note 115,Battery Process Optimization,experiment_note,2024-05-01,M. Chen,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-007.",increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,low,"[""battery-process-optimization"", ""experiment_note"", ""increased-defect-rate""]",process_notes/battery_process_optimization/experiment_note_0115.md
PKAI-0116,Materials Characterization qa record 116,Materials Characterization,qa_record,2024-05-02,A. Patel,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,low,"[""calibration-offset"", ""materials-characterization"", ""qa_record""]",process_notes/materials_characterization/qa_record_0116.md
PKAI-0117,Manufacturing QA maintenance log 117,Manufacturing QA,maintenance_log,2024-05-03,R. Singh,Observed material batch inconsistency during run review. Equipment EQ-009 and material batch MB-2024-1041 were checked against the current validation threshold.,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,low,"[""maintenance_log"", ""manufacturing-qa"", ""material-batch-inconsistency""]",process_notes/manufacturing_qa/maintenance_log_0117.md
PKAI-0118,Equipment Maintenance failure report 118,Equipment Maintenance,failure_report,2024-05-04,N. Brooks,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1042.,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,high,"[""equipment-maintenance"", ""failure_report"", ""sensor-anomaly""]",process_notes/equipment_maintenance/failure_report_0118.md
PKAI-0119,Failure Analysis validation summary 119,Failure Analysis,validation_summary,2024-05-05,R. Singh,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-011.",yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,low,"[""failure-analysis"", ""validation_summary"", ""yield-loss""]",process_notes/failure_analysis/validation_summary_0119.md
PKAI-0120,Validation Testing parameter change 120,Validation Testing,parameter_change,2024-05-06,A. Patel,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,high,"[""parameter_change"", ""validation-testing"", ""validation-threshold-miss""]",process_notes/validation_testing/parameter_change_0120.md
PKAI-0121,Battery Process Optimization experiment note 121,Battery Process Optimization,experiment_note,2024-05-07,N. Brooks,Observed coating uniformity drift during run review. Equipment EQ-013 and material batch MB-2024-1045 were checked against the current validation threshold.,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,medium,"[""battery-process-optimization"", ""coating-uniformity-drift"", ""experiment_note""]",process_notes/battery_process_optimization/experiment_note_0121.md
PKAI-0122,Materials Characterization qa record 122,Materials Characterization,qa_record,2024-05-08,R. Singh,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1046.,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,high,"[""materials-characterization"", ""qa_record"", ""thermal-cycling-impedance-drift""]",process_notes/materials_characterization/qa_record_0122.md
PKAI-0123,Manufacturing QA maintenance log 123,Manufacturing QA,maintenance_log,2024-05-09,J. Rivera,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-015.",increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,low,"[""increased-defect-rate"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0123.md
PKAI-0124,Equipment Maintenance failure report 124,Equipment Maintenance,failure_report,2024-05-10,A. Patel,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,high,"[""calibration-offset"", ""equipment-maintenance"", ""failure_report""]",process_notes/equipment_maintenance/failure_report_0124.md
PKAI-0125,Failure Analysis validation summary 125,Failure Analysis,validation_summary,2024-05-11,J. Rivera,Observed material batch inconsistency during run review. Equipment EQ-017 and material batch MB-2024-1049 were checked against the current validation threshold.,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,low,"[""failure-analysis"", ""material-batch-inconsistency"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0125.md
PKAI-0126,Validation Testing parameter change 126,Validation Testing,parameter_change,2024-05-12,J. Rivera,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1050.,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,low,"[""parameter_change"", ""sensor-anomaly"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0126.md
PKAI-0127,Battery Process Optimization experiment note 127,Battery Process Optimization,experiment_note,2024-05-13,N. Brooks,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-001.",yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,medium,"[""battery-process-optimization"", ""experiment_note"", ""yield-loss""]",process_notes/battery_process_optimization/experiment_note_0127.md
PKAI-0128,Materials Characterization qa record 128,Materials Characterization,qa_record,2024-05-14,N. Brooks,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,high,"[""materials-characterization"", ""qa_record"", ""validation-threshold-miss""]",process_notes/materials_characterization/qa_record_0128.md
